Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
VOLKSWAGEN,MODEL-146,COMPACT,3.0,4,AS9,D,12.4,8.3,10.6,22,284
DODGE,MODEL-515,VAN - CARGO,3.0,6,AM6,X,15.1,12.5,13.9,17,303
JAGUAR,MODEL-723,COMPACT,1.0,4,A8,X,8.6,6.3,7.6,31,170
GMC,MODEL-772,SUV - SMALL,2.5,6,A6,X,13.6,10.0,12.0,20,270
HONDA,MODEL-270,TWO-SEATER,3.0,8,A5,X,15.7,12.2,14.1,17,327
LAMBORGHINI,MODEL-599,STATION WAGON - MID-SIZE,2.5,6,M5,X,13.1,10.4,11.9,20,285
GMC,MODEL-196,PICKUP TRUCK - SMALL,2.5,4,A8,X,13.3,10.0,11.8,20,266
BUICK,MODEL-909,VAN - CARGO,2.5,6,A7,X,11.2,9.5,10.4,23,240
JAGUAR,MODEL-389,SUV - STANDARD,2.5,4,M5,Z,13.0,8.2,10.8,22,251
ACURA,MODEL-281,PICKUP TRUCK - STANDARD,3.0,8,AS7,X,15.1,12.0,13.7,17,313
LINCOLN,MODEL-747,MINICOMPACT,1.0,4,AS6,Z,9.3,5.1,7.4,32,172
ACURA,MODEL-884,COMPACT,1.0,3,AV,X,8.6,6.8,7.8,30,172
FIAT,MODEL-404,COMPACT,3.0,6,AV10,Z,14.0,9.5,12.0,20,277
BUICK,MODEL-435,SUV - STANDARD,2.5,4,AS5,X,12.0,8.8,10.6,22,232
RAM,MODEL-821,SUV - STANDARD,2.0,4,AS5,Z,10.8,7.9,9.5,25,211
MITSUBISHI,MODEL-836,PICKUP TRUCK - SMALL,3.0,6,A4,X,16.0,14.4,15.3,15,357
MAZDA,MODEL-942,MINICOMPACT,1.5,3,M6,E,11.7,7.1,9.6,25,143
GENESIS,MODEL-231,PICKUP TRUCK - SMALL,1.0,3,A7,D,7.5,4.4,6.1,39,156
INFINITI,MODEL-235,FULL-SIZE,3.0,6,AS10,D,12.4,8.3,10.6,22,285
ALFA ROMEO,MODEL-961,TWO-SEATER,2.5,4,AV,X,11.6,7.4,9.7,24,219
ROLLS-ROYCE,MODEL-324,VAN - PASSENGER,3.0,6,AS9,X,14.3,11.4,13.0,18,303
BENTLEY,MODEL-678,STATION WAGON - SMALL,1.5,4,AM7,X,8.5,6.0,7.4,32,173
LINCOLN,MODEL-709,SUV - STANDARD,3.5,4,AM6,Z,15.5,12.2,14.0,17,321
HONDA,MODEL-114,MINICOMPACT,3.0,6,A5,N,12.9,8.7,11.0,21,215
BMW,MODEL-932,MID-SIZE,2.0,6,AV,X,11.7,7.3,9.7,24,219
CHEVROLET,MODEL-505,FULL-SIZE,2.0,4,A5,X,11.9,7.7,10.0,24,233
GENESIS,MODEL-465,VAN - PASSENGER,2.0,6,A7,X,12.8,8.0,10.6,22,240
JAGUAR,MODEL-652,MINICOMPACT,1.5,3,AS7,X,8.3,4.5,6.6,36,149
BMW,MODEL-544,PICKUP TRUCK - SMALL,1.0,4,M6,X,10.4,5.9,8.4,28,197
TOYOTA,MODEL-613,FULL-SIZE,3.5,6,A4,E,18.6,14.3,16.7,14,253
LAMBORGHINI,MODEL-666,STATION WAGON - MID-SIZE,2.5,4,A10,D,11.0,8.4,9.8,24,263
ACURA,MODEL-616,SUV - STANDARD,2.0,4,M6,Z,12.0,9.4,10.8,22,258
CADILLAC,MODEL-477,PICKUP TRUCK - SMALL,3.0,8,M6,N,15.1,11.0,13.3,18,256
FORD,MODEL-855,SUV - STANDARD,1.5,3,AS6,X,10.3,7.5,9.0,26,199
HONDA,MODEL-520,TWO-SEATER,2.5,4,M6,Z,13.0,9.9,11.6,20,256
MERCEDES-BENZ,MODEL-770,SUBCOMPACT,2.0,4,AS10,D,9.3,5.5,7.6,31,205
MITSUBISHI,MODEL-703,SUV - SMALL,2.0,4,AS10,X,11.3,8.1,9.9,24,232
RAM,MODEL-836,COMPACT,3.0,8,A4,X,13.9,11.0,12.6,19,292
ACURA,MODEL-521,STATION WAGON - MID-SIZE,2.0,6,AS9,Z,11.8,9.5,10.8,22,243
ALFA ROMEO,MODEL-873,VAN - PASSENGER,2.0,4,A8,X,11.0,7.8,9.6,25,227
MAZDA,MODEL-468,PICKUP TRUCK - STANDARD,3.0,8,AS10,X,14.6,10.5,12.8,18,298
CADILLAC,MODEL-598,MID-SIZE,2.0,4,AS6,X,12.4,10.0,11.3,21,257
FORD,MODEL-859,COMPACT,3.0,6,AS9,X,14.5,10.4,12.7,19,285
VOLKSWAGEN,MODEL-302,MID-SIZE,2.5,4,A9,X,10.7,6.2,8.7,27,193
LAND ROVER,MODEL-572,PICKUP TRUCK - STANDARD,4.0,6,M6,Z,16.4,11.7,14.3,16,315
ASTON MARTIN,MODEL-856,COMPACT,3.0,6,A6,Z,11.3,9.2,10.4,23,242
LAND ROVER,MODEL-562,MID-SIZE,2.0,4,A6,Z,11.4,9.4,10.5,22,230
CHRYSLER,MODEL-717,SUV - SMALL,3.0,6,AV7,Z,13.5,8.7,11.3,21,264
AUDI,MODEL-621,STATION WAGON - MID-SIZE,1.5,4,A6,D,9.1,6.7,8.0,29,212
LINCOLN,MODEL-207,FULL-SIZE,3.5,4,A8,Z,12.7,10.1,11.5,20,271
HYUNDAI,MODEL-135,PICKUP TRUCK - SMALL,2.5,6,A8,Z,12.7,9.3,11.2,21,257
LINCOLN,MODEL-148,SUV - STANDARD,3.0,6,AS7,Z,13.4,8.5,11.2,21,263
SMART,MODEL-505,SUV - STANDARD,2.0,4,A10,X,12.2,7.8,10.2,23,235
CADILLAC,MODEL-807,SPECIAL PURPOSE VEHICLE,2.0,4,AV7,X,11.9,8.9,10.6,22,236
MINI,MODEL-438,FULL-SIZE,3.0,4,AV,Z,13.2,10.2,11.8,20,281
CADILLAC,MODEL-772,TWO-SEATER,2.0,4,M5,X,11.0,8.0,9.6,25,222
MAZDA,MODEL-600,MINICOMPACT,1.5,3,A7,X,9.0,7.4,8.3,28,183
BMW,MODEL-460,COMPACT,1.0,3,A5,X,8.6,7.1,7.9,30,171
HYUNDAI,MODEL-121,SUBCOMPACT,2.5,4,AS10,X,12.5,10.6,11.6,20,259
MITSUBISHI,MODEL-179,PICKUP TRUCK - SMALL,4.0,6,A8,N,16.5,14.3,15.5,15,298
JEEP,MODEL-440,SUV - SMALL,2.5,4,AS6,N,12.1,7.3,9.9,24,186
BUICK,MODEL-705,FULL-SIZE,1.5,3,AS10,X,11.0,9.0,10.1,23,233
SMART,MODEL-244,PICKUP TRUCK - SMALL,2.0,6,A5,X,11.9,10.1,11.1,21,257
LEXUS,MODEL-286,PICKUP TRUCK - STANDARD,5.0,8,AV,Z,19.7,15.1,17.6,13,399
BUICK,MODEL-986,VAN - CARGO,2.0,4,AM7,X,10.6,6.3,8.7,27,196
MASERATI,MODEL-886,VAN - CARGO,3.5,8,AS7,E,19.8,14.5,17.4,14,257
GMC,MODEL-322,VAN - CARGO,2.0,4,AS9,X,11.2,6.9,9.3,25,214
ROLLS-ROYCE,MODEL-354,VAN - CARGO,3.0,6,AV,X,12.9,10.8,12.0,20,272
CADILLAC,MODEL-687,SUV - STANDARD,3.5,6,A8,D,12.8,9.2,11.2,21,293
MITSUBISHI,MODEL-316,VAN - PASSENGER,4.0,6,AM6,X,16.6,13.2,15.1,16,333
SMART,MODEL-606,STATION WAGON - SMALL,1.5,3,M5,X,8.9,5.1,7.2,33,165
FIAT,MODEL-770,VAN - CARGO,3.5,6,A7,X,16.1,11.9,14.2,17,333
JEEP,MODEL-785,SUBCOMPACT,2.0,4,A6,D,10.9,8.7,9.9,24,269
GENESIS,MODEL-767,SUV - STANDARD,3.0,6,A7,X,12.3,8.8,10.7,22,242
JAGUAR,MODEL-810,FULL-SIZE,4.0,6,AM6,X,15.1,12.7,14.0,17,320
LEXUS,MODEL-671,SUV - SMALL,3.5,4,AV8,X,14.1,9.3,11.9,20,277
MERCEDES-BENZ,MODEL-925,FULL-SIZE,1.5,4,AV10,Z,12.4,7.8,10.3,23,229
CADILLAC,MODEL-236,COMPACT,1.0,4,M5,Z,10.6,8.2,9.5,25,221
TOYOTA,MODEL-468,MID-SIZE,2.0,4,A10,X,10.3,6.3,8.5,28,192
ACURA,MODEL-915,MINICOMPACT,2.0,4,A8,D,9.3,6.1,7.9,30,208
RAM,MODEL-784,SUV - STANDARD,4.5,8,A10,Z,18.1,15.9,17.1,14,394
TOYOTA,MODEL-142,VAN - CARGO,1.5,4,AS6,X,10.2,7.3,8.9,26,198
FIAT,MODEL-676,SPECIAL PURPOSE VEHICLE,1.5,4,AS6,Z,11.1,8.4,9.9,24,232
LEXUS,MODEL-690,COMPACT,2.0,4,AS6,Z,12.2,8.4,10.5,22,233
RAM,MODEL-397,VAN - PASSENGER,2.5,4,AM6,X,13.7,11.5,12.7,19,281
CHRYSLER,MODEL-910,SUV - STANDARD,2.5,6,A8,X,12.6,10.9,11.8,20,274
ACURA,MODEL-372,TWO-SEATER,2.5,6,M7,X,13.3,8.3,11.0,21,248
FIAT,MODEL-265,PICKUP TRUCK - STANDARD,2.0,4,AV7,D,10.5,7.3,9.1,26,242
PORSCHE,MODEL-923,FULL-SIZE,1.5,3,A9,X,10.8,5.9,8.6,27,202
ASTON MARTIN,MODEL-269,COMPACT,3.0,6,AV10,X,15.0,11.4,13.4,18,313
BMW,MODEL-879,MID-SIZE,2.5,4,AV10,X,13.0,11.5,12.3,19,284
ACURA,MODEL-172,VAN - CARGO,2.0,4,AM6,X,13.0,8.4,10.9,22,247
CHEVROLET,MODEL-682,SUBCOMPACT,2.0,4,A9,Z,11.2,7.8,9.7,24,217
MITSUBISHI,MODEL-683,TWO-SEATER,2.5,6,AS6,D,11.9,9.3,10.7,22,271
VOLVO,MODEL-810,SUV - STANDARD,2.0,4,A7,Z,13.2,11.2,12.3,19,282
LAMBORGHINI,MODEL-829,STATION WAGON - SMALL,2.0,4,A5,X,11.1,7.1,9.3,25,209
BUICK,MODEL-494,SPECIAL PURPOSE VEHICLE,3.0,6,AV8,X,16.1,12.7,14.6,16,323
MINI,MODEL-389,COMPACT,2.5,4,A8,X,12.3,8.9,10.8,22,249
LINCOLN,MODEL-890,SUV - SMALL,3.0,6,A7,D,12.7,8.4,10.8,22,286
RAM,MODEL-377,SPECIAL PURPOSE VEHICLE,3.0,8,AS8,X,15.0,13.3,14.2,17,312
JEEP,MODEL-269,SUBCOMPACT,1.5,3,A6,X,9.9,5.1,7.7,31,176
LAND ROVER,MODEL-837,SUBCOMPACT,1.5,4,AV,Z,11.1,7.7,9.6,25,219
BUICK,MODEL-271,STATION WAGON - SMALL,2.5,4,AV7,X,12.1,8.4,10.4,23,232
LAMBORGHINI,MODEL-541,SUV - SMALL,2.5,4,AS7,Z,13.1,8.2,10.9,22,246
INFINITI,MODEL-330,VAN - PASSENGER,3.0,8,AS8,X,15.2,13.5,14.4,16,326
PORSCHE,MODEL-654,SUBCOMPACT,2.5,6,A6,X,13.2,11.4,12.4,19,292
PORSCHE,MODEL-736,SUV - SMALL,2.5,4,A7,X,11.6,8.0,10.0,24,234
JEEP,MODEL-347,SUV - SMALL,2.5,4,M7,E,15.7,12.7,14.4,16,213
CADILLAC,MODEL-405,FULL-SIZE,2.5,4,AS9,X,12.0,9.9,11.1,21,247
GMC,MODEL-453,PICKUP TRUCK - STANDARD,2.5,4,AV8,Z,12.5,10.6,11.6,20,262
LAND ROVER,MODEL-709,SUV - STANDARD,2.0,4,AS8,X,11.2,8.5,10.0,24,230
GMC,MODEL-682,VAN - PASSENGER,3.5,6,AV,Z,15.2,12.2,13.8,17,320
LINCOLN,MODEL-109,PICKUP TRUCK - SMALL,3.0,6,M7,X,14.4,11.3,13.0,18,309
LAND ROVER,MODEL-716,MID-SIZE,2.5,4,M7,X,11.8,7.0,9.6,25,218
CHRYSLER,MODEL-765,PICKUP TRUCK - SMALL,3.5,8,A8,X,16.3,14.6,15.5,15,345
JEEP,MODEL-915,MINICOMPACT,2.0,6,AV7,X,11.6,7.2,9.6,25,220
LAMBORGHINI,MODEL-559,PICKUP TRUCK - SMALL,1.0,4,AS9,X,9.5,7.0,8.4,28,182
JEEP,MODEL-407,COMPACT,2.5,6,M5,D,11.0,8.4,9.8,24,255
MITSUBISHI,MODEL-605,STATION WAGON - MID-SIZE,2.0,6,A7,D,10.2,5.9,8.3,28,220
LEXUS,MODEL-636,MID-SIZE,1.5,3,AS10,X,10.3,8.1,9.3,25,201
DODGE,MODEL-394,SUV - SMALL,2.0,4,A4,Z,10.1,6.2,8.3,28,190
CADILLAC,MODEL-911,COMPACT,2.5,6,A5,E,16.0,10.7,13.6,17,203
ASTON MARTIN,MODEL-657,FULL-SIZE,2.5,6,A5,Z,12.5,10.0,11.4,21,265
MERCEDES-BENZ,MODEL-488,MINICOMPACT,2.0,4,AS7,Z,9.4,4.8,7.3,32,174
LAMBORGHINI,MODEL-729,SUBCOMPACT,2.5,6,AS7,Z,13.9,11.7,12.9,18,289
LAND ROVER,MODEL-833,SPECIAL PURPOSE VEHICLE,1.0,4,A5,X,8.8,4.7,7.0,34,162
VOLVO,MODEL-745,PICKUP TRUCK - SMALL,3.5,4,AS6,Z,13.4,10.2,12.0,20,281
CHRYSLER,MODEL-973,PICKUP TRUCK - STANDARD,4.5,8,AM6,N,17.3,13.2,15.5,15,298
ROLLS-ROYCE,MODEL-198,SUV - SMALL,2.5,4,AS10,D,10.8,8.0,9.5,25,254
ACURA,MODEL-114,PICKUP TRUCK - SMALL,2.0,4,A8,X,10.3,8.2,9.4,25,220
GMC,MODEL-899,STATION WAGON - SMALL,1.5,3,A10,X,10.6,6.0,8.5,28,186
CHRYSLER,MODEL-865,STATION WAGON - SMALL,2.5,6,AS8,X,13.8,10.4,12.3,19,277
KIA,MODEL-659,SUBCOMPACT,2.5,4,AM7,E,14.7,9.8,12.5,19,188
ACURA,MODEL-534,PICKUP TRUCK - SMALL,3.0,8,A9,D,13.3,11.0,12.3,19,328
BMW,MODEL-837,SUV - STANDARD,2.0,4,AM7,X,11.6,7.5,9.8,24,217
SUBARU,MODEL-819,STATION WAGON - SMALL,2.0,4,M6,D,9.9,7.1,8.6,27,232
DODGE,MODEL-139,PICKUP TRUCK - STANDARD,2.5,6,M6,X,14.3,9.7,12.2,19,287
ACURA,MODEL-297,SUV - STANDARD,3.0,4,AS7,X,12.8,11.3,12.1,19,264
KIA,MODEL-652,STATION WAGON - SMALL,3.0,6,A9,X,13.5,9.9,11.9,20,280
CHRYSLER,MODEL-349,FULL-SIZE,2.5,6,A8,Z,13.6,9.2,11.6,20,269
CHEVROLET,MODEL-195,VAN - CARGO,3.0,6,A4,X,14.9,11.3,13.3,18,299
KIA,MODEL-580,SUBCOMPACT,2.5,4,A6,D,10.4,9.0,9.8,24,260
DODGE,MODEL-322,PICKUP TRUCK - STANDARD,3.0,6,A6,X,15.6,13.1,14.5,16,328
SUBARU,MODEL-474,TWO-SEATER,3.0,4,A9,X,13.2,11.5,12.4,19,280
GMC,MODEL-289,MINICOMPACT,2.0,4,A4,X,11.0,8.2,9.7,24,231
PORSCHE,MODEL-889,VAN - PASSENGER,3.0,6,AV,Z,15.2,11.7,13.6,17,305
AUDI,MODEL-265,COMPACT,1.5,4,AV10,X,11.0,8.3,9.8,24,236
PORSCHE,MODEL-587,FULL-SIZE,3.0,6,AS6,X,13.8,10.8,12.5,19,280
LAMBORGHINI,MODEL-154,MINICOMPACT,1.0,4,A5,Z,9.4,6.7,8.2,29,187
LEXUS,MODEL-778,PICKUP TRUCK - SMALL,3.5,8,AV10,N,14.7,10.3,12.7,19,247
MERCEDES-BENZ,MODEL-865,VAN - PASSENGER,2.5,4,AS6,X,12.4,8.0,10.4,23,236
CHEVROLET,MODEL-915,STATION WAGON - SMALL,3.0,8,A10,E,16.2,11.8,14.2,17,217
MASERATI,MODEL-289,SUV - STANDARD,3.5,8,AM6,X,16.0,11.5,14.0,17,328
LEXUS,MODEL-280,SUV - SMALL,2.5,6,AV10,X,13.1,9.8,11.6,20,264
ACURA,MODEL-934,STATION WAGON - SMALL,1.0,3,AS8,X,9.5,4.5,7.2,33,170
CHEVROLET,MODEL-402,SUBCOMPACT,2.5,6,A10,X,13.0,9.3,11.3,21,261
JEEP,MODEL-733,PICKUP TRUCK - STANDARD,2.0,6,AV8,X,13.1,8.9,11.2,21,258
MERCEDES-BENZ,MODEL-934,MINICOMPACT,1.0,3,M7,X,7.8,5.9,6.9,34,153
BENTLEY,MODEL-605,COMPACT,2.5,4,A10,X,11.9,8.2,10.2,23,240
KIA,MODEL-260,COMPACT,2.0,4,AM6,X,11.5,9.5,10.6,22,245
SUBARU,MODEL-607,STATION WAGON - SMALL,2.5,4,AS6,X,12.2,9.2,10.8,22,246
HYUNDAI,MODEL-664,SUV - SMALL,3.0,8,AM6,Z,14.0,12.4,13.3,18,305
LINCOLN,MODEL-527,SUBCOMPACT,1.0,4,AM6,Z,11.5,8.6,10.2,23,236
INFINITI,MODEL-354,SUV - SMALL,3.0,4,AS7,Z,13.8,10.0,12.1,19,278
LAMBORGHINI,MODEL-481,FULL-SIZE,2.5,4,AV10,X,12.6,9.8,11.3,21,261
INFINITI,MODEL-173,SUV - STANDARD,3.0,6,A10,Z,12.9,11.3,12.2,19,286
BUICK,MODEL-657,SUV - STANDARD,2.0,4,AS6,X,11.9,9.1,10.6,22,243
BUICK,MODEL-956,VAN - PASSENGER,2.0,4,A7,X,11.3,8.3,10.0,24,230
LEXUS,MODEL-987,MINICOMPACT,1.0,4,AV10,X,8.3,4.0,6.4,37,143
VOLKSWAGEN,MODEL-657,VAN - PASSENGER,2.5,4,AV7,E,14.9,11.3,13.3,18,199
BENTLEY,MODEL-436,PICKUP TRUCK - STANDARD,3.0,6,A8,X,14.0,9.6,12.0,20,281
FIAT,MODEL-447,STATION WAGON - MID-SIZE,2.0,4,M6,D,9.8,7.5,8.8,27,235
BUICK,MODEL-411,FULL-SIZE,2.5,4,AV7,D,10.7,8.8,9.8,24,260
PORSCHE,MODEL-626,VAN - CARGO,2.5,6,M6,X,13.1,11.5,12.4,19,284
GENESIS,MODEL-165,PICKUP TRUCK - STANDARD,3.0,6,AS5,X,14.8,12.6,13.8,17,316
SMART,MODEL-365,SUV - STANDARD,1.5,3,A4,D,9.4,5.2,7.5,31,198
MAZDA,MODEL-195,SUV - SMALL,1.0,4,A6,E,12.3,9.0,10.8,22,156
MAZDA,MODEL-242,SPECIAL PURPOSE VEHICLE,1.5,3,AM6,X,9.4,7.4,8.5,28,201
TOYOTA,MODEL-149,SPECIAL PURPOSE VEHICLE,3.5,4,AS9,X,14.3,11.0,12.8,18,294
CHEVROLET,MODEL-164,TWO-SEATER,1.5,3,AS7,X,10.8,7.6,9.4,25,228
ACURA,MODEL-313,PICKUP TRUCK - SMALL,3.0,4,A8,X,13.1,11.3,12.3,19,274
HYUNDAI,MODEL-316,SUV - SMALL,1.5,3,A9,D,8.6,6.7,7.7,31,202
CADILLAC,MODEL-935,PICKUP TRUCK - STANDARD,2.5,4,A8,X,12.5,9.1,11.0,21,252
ACURA,MODEL-273,VAN - PASSENGER,3.5,6,AS7,X,14.1,9.5,12.0,20,283
HONDA,MODEL-559,PICKUP TRUCK - STANDARD,3.0,6,AV7,D,13.6,10.3,12.1,19,316
SUBARU,MODEL-497,STATION WAGON - SMALL,3.0,6,AM7,D,11.9,10.1,11.1,21,310
AUDI,MODEL-745,MINICOMPACT,1.5,3,AM6,X,9.1,5.3,7.4,32,166
BENTLEY,MODEL-455,STATION WAGON - SMALL,3.0,6,M6,E,16.1,10.0,13.4,18,203
MITSUBISHI,MODEL-724,PICKUP TRUCK - STANDARD,2.0,6,AV,X,12.0,9.8,11.0,21,249
INFINITI,MODEL-683,STATION WAGON - SMALL,2.5,4,AS7,X,11.0,8.9,10.1,23,226
SUBARU,MODEL-929,FULL-SIZE,3.5,6,AM6,X,14.5,10.8,12.8,18,282
BUICK,MODEL-297,MINICOMPACT,1.5,4,A7,X,10.7,7.2,9.1,26,215
JAGUAR,MODEL-374,MINICOMPACT,1.5,4,A4,Z,10.3,8.5,9.5,25,227
SUBARU,MODEL-792,TWO-SEATER,2.5,4,A4,D,10.9,7.2,9.2,26,234
LAMBORGHINI,MODEL-817,FULL-SIZE,2.0,4,M7,E,14.1,10.6,12.5,19,193
MASERATI,MODEL-757,COMPACT,2.5,6,AS9,D,11.1,8.5,9.9,24,261
BUICK,MODEL-815,FULL-SIZE,2.5,6,A5,Z,12.8,9.5,11.3,21,251
PORSCHE,MODEL-491,MINICOMPACT,1.5,3,AS8,Z,10.0,7.7,9.0,26,209
ALFA ROMEO,MODEL-163,MINICOMPACT,2.0,4,AS8,D,9.2,7.2,8.3,28,221
MINI,MODEL-117,MINICOMPACT,1.5,4,M7,X,9.9,6.5,8.4,28,186
BMW,MODEL-599,SUV - STANDARD,1.0,3,AV8,Z,10.4,5.4,8.2,29,187
JEEP,MODEL-925,MID-SIZE,2.0,4,AV10,X,11.9,10.0,11.0,21,243
LINCOLN,MODEL-851,SPECIAL PURPOSE VEHICLE,3.0,6,AS8,Z,14.3,11.0,12.8,18,286
ROLLS-ROYCE,MODEL-195,STATION WAGON - MID-SIZE,3.5,6,A9,D,13.7,10.1,12.1,19,326
CHRYSLER,MODEL-420,STATION WAGON - MID-SIZE,2.0,4,A6,Z,12.2,10.3,11.3,21,256
JAGUAR,MODEL-263,SUV - SMALL,3.0,8,AV8,Z,14.3,11.6,13.1,18,292
HYUNDAI,MODEL-329,TWO-SEATER,3.0,4,M7,Z,12.4,10.8,11.7,20,272
JAGUAR,MODEL-582,STATION WAGON - MID-SIZE,2.5,4,A6,D,10.9,7.2,9.2,26,240
FORD,MODEL-118,PICKUP TRUCK - STANDARD,4.5,6,AS9,D,16.0,12.2,14.3,16,371
ROLLS-ROYCE,MODEL-127,MID-SIZE,2.5,6,A9,X,11.7,6.9,9.5,25,209
MINI,MODEL-560,STATION WAGON - MID-SIZE,2.5,6,A4,Z,13.2,8.8,11.2,21,261
AUDI,MODEL-290,MINICOMPACT,1.0,4,A8,D,8.3,5.8,7.2,33,191
PORSCHE,MODEL-216,TWO-SEATER,2.5,4,AV8,Z,12.7,10.6,11.8,20,273
CADILLAC,MODEL-167,TWO-SEATER,3.0,4,A8,X,14.3,9.9,12.3,19,273
DODGE,MODEL-741,MID-SIZE,2.5,4,AV,X,13.9,11.2,12.7,19,282
ALFA ROMEO,MODEL-567,FULL-SIZE,3.0,8,AS10,Z,14.9,12.5,13.8,17,322
NISSAN,MODEL-456,PICKUP TRUCK - STANDARD,4.0,8,AV,D,15.8,12.8,14.5,16,380
HONDA,MODEL-855,VAN - PASSENGER,3.0,4,A9,Z,14.2,12.3,13.3,18,308
VOLVO,MODEL-122,PICKUP TRUCK - SMALL,3.5,4,AS8,X,14.2,9.8,12.2,19,269
MITSUBISHI,MODEL-567,TWO-SEATER,2.0,6,AV10,D,11.0,9.1,10.1,23,258
KIA,MODEL-382,TWO-SEATER,3.0,6,A6,E,15.6,10.5,13.3,18,197
HONDA,MODEL-527,PICKUP TRUCK - SMALL,3.5,6,AV7,X,14.3,12.3,13.4,18,306
CHEVROLET,MODEL-252,PICKUP TRUCK - SMALL,2.5,4,A7,Z,13.9,11.7,12.9,18,305
BENTLEY,MODEL-856,SPECIAL PURPOSE VEHICLE,2.5,4,AS9,X,13.1,10.5,11.9,20,273
CHRYSLER,MODEL-687,MID-SIZE,1.5,4,AS10,X,9.1,6.1,7.8,30,175
KIA,MODEL-117,FULL-SIZE,2.0,6,A8,Z,11.7,8.6,10.3,23,234
MASERATI,MODEL-147,MINICOMPACT,1.5,3,AS6,X,7.8,5.8,6.9,34,155
MASERATI,MODEL-262,SPECIAL PURPOSE VEHICLE,2.5,4,A5,X,11.7,9.4,10.7,22,246
VOLVO,MODEL-377,TWO-SEATER,2.5,4,A9,X,12.7,8.3,10.7,22,250
GMC,MODEL-371,COMPACT,3.0,6,AS10,X,13.7,11.1,12.5,19,291
FIAT,MODEL-598,TWO-SEATER,3.0,6,A7,X,14.1,9.7,12.1,19,286
MAZDA,MODEL-625,PICKUP TRUCK - SMALL,2.5,4,AV7,X,11.6,7.2,9.6,25,217
LEXUS,MODEL-248,FULL-SIZE,4.0,4,AM7,X,14.6,9.6,12.4,19,281
BENTLEY,MODEL-688,PICKUP TRUCK - SMALL,2.5,4,AM6,X,11.5,9.2,10.5,22,236
HONDA,MODEL-877,PICKUP TRUCK - STANDARD,3.0,8,AS8,X,15.2,10.9,13.3,18,300
MITSUBISHI,MODEL-196,VAN - CARGO,2.5,6,AS9,N,13.3,10.6,12.1,19,225
NISSAN,MODEL-655,SUV - STANDARD,3.0,4,M7,X,12.4,10.4,11.5,20,258
PORSCHE,MODEL-563,VAN - PASSENGER,2.5,4,A9,Z,12.5,10.6,11.6,20,258
MITSUBISHI,MODEL-176,STATION WAGON - SMALL,1.5,4,AS7,X,10.5,6.3,8.6,27,205
ACURA,MODEL-595,COMPACT,1.0,4,AS10,X,9.5,6.9,8.3,28,185
MINI,MODEL-227,MINICOMPACT,1.0,4,AS9,D,9.4,7.9,8.7,27,226
CHEVROLET,MODEL-326,STATION WAGON - MID-SIZE,1.5,3,AS8,N,9.3,6.8,8.2,29,153
SMART,MODEL-792,SUV - STANDARD,3.5,6,A5,Z,13.8,12.2,13.1,18,313
LAND ROVER,MODEL-693,SPECIAL PURPOSE VEHICLE,2.5,6,A10,X,13.0,11.4,12.3,19,286
INFINITI,MODEL-862,MINICOMPACT,1.5,3,AM7,X,10.0,5.6,8.0,29,182
MITSUBISHI,MODEL-982,TWO-SEATER,3.0,8,A6,D,13.0,9.3,11.3,21,300
VOLVO,MODEL-756,SUV - SMALL,2.5,4,AV7,X,12.6,10.4,11.6,20,269
GMC,MODEL-929,SUV - STANDARD,2.0,4,A9,Z,9.9,6.1,8.2,29,183
BUICK,MODEL-876,SPECIAL PURPOSE VEHICLE,1.5,3,M7,N,10.9,7.1,9.2,26,176
MASERATI,MODEL-560,TWO-SEATER,2.5,4,AM6,X,13.1,8.3,10.9,22,250
GENESIS,MODEL-345,MINICOMPACT,1.0,3,A7,X,9.7,7.0,8.5,28,192
ACURA,MODEL-298,SPECIAL PURPOSE VEHICLE,3.5,6,A6,X,13.6,12.1,12.9,18,291
NISSAN,MODEL-378,FULL-SIZE,1.5,4,AM6,X,9.1,4.6,7.1,33,165
BENTLEY,MODEL-196,STATION WAGON - MID-SIZE,2.0,6,A7,D,11.2,9.4,10.4,23,279
MASERATI,MODEL-828,PICKUP TRUCK - STANDARD,4.0,6,AS7,X,15.1,10.5,13.0,18,296
MERCEDES-BENZ,MODEL-227,PICKUP TRUCK - STANDARD,3.5,6,AM7,Z,12.7,10.8,11.8,20,265
ACURA,MODEL-356,FULL-SIZE,3.5,8,M5,X,15.7,11.2,13.7,17,314
HONDA,MODEL-701,STATION WAGON - MID-SIZE,2.0,6,A10,X,12.0,8.8,10.6,22,244
DODGE,MODEL-220,MINICOMPACT,2.5,4,A8,X,12.5,10.7,11.7,20,265
INFINITI,MODEL-910,SUV - SMALL,2.5,4,AS5,Z,12.5,10.4,11.6,20,266
MITSUBISHI,MODEL-340,COMPACT,2.0,4,AS9,X,10.3,8.6,9.5,25,213
HYUNDAI,MODEL-923,SUV - STANDARD,4.0,6,AM6,X,17.1,14.8,16.1,15,388
LEXUS,MODEL-288,VAN - CARGO,2.0,4,AV8,Z,13.1,8.9,11.2,21,256
TOYOTA,MODEL-199,SUV - STANDARD,2.0,4,A5,D,9.4,6.4,8.0,29,196
